label,string,result,time,size
periodo naive, fill random,1000,0.000447,1000
periodo smart, fill random,1000,9.00833e-06,1000
periodo naive, fill with period,7,1.49143e-05,1000
periodo smart, fill with period,7,9.17273e-06,1000
periodo naive, fill random,1039,0.00138885,1039
periodo smart, fill random,1039,1.00091e-05,1039
periodo naive, fill with period,8,1.62714e-05,1039
periodo smart, fill with period,8,9.35455e-06,1039
periodo naive, fill random,1081,0.00097945,1081
periodo smart, fill random,1081,9.66364e-06,1081
periodo naive, fill with period,9,1.72667e-05,1081
periodo smart, fill with period,9,9.075e-06,1081
periodo naive, fill random,1124,0.0009427,1124
periodo smart, fill random,1124,9.79091e-06,1124
periodo naive, fill with period,25,3.5525e-05,1124
periodo smart, fill with period,25,9.19091e-06,1124
periodo naive, fill random,1169,0.0011241,1169
periodo smart, fill random,1169,1.19333e-05,1169
periodo naive, fill with period,14,1.25111e-05,1169
periodo smart, fill with period,14,1.057e-05,1169
periodo naive, fill random,1216,0.0021596,1216
periodo smart, fill random,1216,1.11333e-05,1216
periodo naive, fill with period,20,1.2775e-05,1216
periodo smart, fill with period,20,1.071e-05,1216
periodo naive, fill random,1263,0.002017,1264
periodo smart, fill random,1263,1.32875e-05,1264
periodo naive, fill with period,21,5.12667e-05,1264
periodo smart, fill with period,21,1.095e-05,1264
periodo naive, fill random,1315,0.0023707,1315
periodo smart, fill random,1315,1.18889e-05,1315
periodo naive, fill with period,18,4.44e-05,1315
periodo smart, fill with period,18,1.156e-05,1315
periodo naive, fill random,1367,0.00240975,1367
periodo smart, fill random,1367,1.20111e-05,1367
periodo naive, fill with period,22,5.33667e-05,1367
periodo smart, fill with period,22,1.12556e-05,1367
periodo naive, fill random,1422,0.00246355,1422
periodo smart, fill random,1422,1.23444e-05,1422
periodo naive, fill with period,9,2.6975e-05,1422
periodo smart, fill with period,9,1.15e-05,1422
periodo naive, fill random,1478,0.0026238,1478
periodo smart, fill random,1478,1.26778e-05,1478
periodo naive, fill with period,20,4.9e-05,1478
periodo smart, fill with period,20,1.17444e-05,1478
periodo naive, fill random,1537,0.002291,1537
periodo smart, fill random,1537,1.46286e-05,1537
periodo naive, fill with period,9,2.6325e-05,1537
periodo smart, fill with period,9,1.4075e-05,1537
periodo naive, fill random,1599,0.0023631,1599
periodo smart, fill random,1599,1.55714e-05,1599
periodo naive, fill with period,3,1.49286e-05,1599
periodo smart, fill with period,3,1.43625e-05,1599
periodo naive, fill random,1662,0.0025598,1662
periodo smart, fill random,1662,1.53286e-05,1662
periodo naive, fill with period,15,3.51333e-05,1662
periodo smart, fill with period,15,1.44143e-05,1662
periodo naive, fill random,1729,0.0025918,1729
periodo smart, fill random,1729,1.66e-05,1729
periodo naive, fill with period,5,1.96e-05,1729
periodo smart, fill with period,5,1.52429e-05,1729
periodo naive, fill random,1798,0.00263445,1798
periodo smart, fill random,1798,1.60714e-05,1798
periodo naive, fill with period,17,3.86667e-05,1798
periodo smart, fill with period,17,1.50571e-05,1798
periodo naive, fill random,1869,0.0029534,1869
periodo smart, fill random,1869,1.64e-05,1869
periodo naive, fill with period,5,1.97167e-05,1869
periodo smart, fill with period,5,1.54143e-05,1869
periodo naive, fill random,1944,0.00298715,1944
periodo smart, fill random,1944,2.042e-05,1944
periodo naive, fill with period,5,2.084e-05,1944
periodo smart, fill with period,5,1.92333e-05,1944
periodo naive, fill random,2022,0.0024128,2022
periodo smart, fill random,2022,1.68833e-05,2022
periodo naive, fill with period,24,4.16e-05,2022
periodo smart, fill with period,24,1.52e-05,2022
periodo naive, fill random,2102,0.00236635,2102
periodo smart, fill random,2102,2.388e-05,2102
periodo naive, fill with period,19,5.86e-05,2102
periodo smart, fill with period,19,2.07333e-05,2102
periodo naive, fill random,2186,0.0059939,2186
periodo smart, fill random,2186,2.146e-05,2186
periodo naive, fill with period,17,5.29e-05,2186
periodo smart, fill with period,17,2.03e-05,2186
periodo naive, fill random,2272,0.00636555,2273
periodo smart, fill random,2272,2.19e-05,2273
periodo naive, fill with period,4,2.665e-05,2273
periodo smart, fill with period,4,2.39e-05,2273
periodo naive, fill random,2364,0.00641235,2364
periodo smart, fill random,2364,3.332e-05,2364
periodo naive, fill with period,18,7.425e-05,2364
periodo smart, fill with period,18,2.875e-05,2364
periodo naive, fill random,2459,0.0064867,2459
periodo smart, fill random,2459,2.472e-05,2459
periodo naive, fill with period,1,1.69714e-05,2459
periodo smart, fill with period,1,2.282e-05,2459
periodo naive, fill random,2557,0.00682275,2557
periodo smart, fill random,2557,2.57375e-05,2557
periodo naive, fill with period,4,2.8475e-05,2557
periodo smart, fill with period,4,2.565e-05,2557
periodo naive, fill random,2659,0.00698445,2659
periodo smart, fill random,2659,2.54e-05,2659
periodo naive, fill with period,13,5.52e-05,2659
periodo smart, fill with period,13,2.62e-05,2659
periodo naive, fill random,2765,0.0074445,2765
periodo smart, fill random,2765,2.404e-05,2765
periodo naive, fill with period,16,6.38667e-05,2765
periodo smart, fill with period,16,2.268e-05,2765
periodo naive, fill random,2875,0.00729495,2875
periodo smart, fill random,2875,2.468e-05,2875
periodo naive, fill with period,13,5.33667e-05,2875
periodo smart, fill with period,13,2.318e-05,2875
periodo naive, fill random,2990,0.00984725,2990
periodo smart, fill random,2990,4.264e-05,2990
periodo naive, fill with period,12,7.19e-05,2990
periodo smart, fill with period,12,3.36333e-05,2990
periodo naive, fill random,3109,0.0111451,3109
periodo smart, fill random,3109,3.61e-05,3109
periodo naive, fill with period,6,4.38333e-05,3109
periodo smart, fill with period,6,3.46667e-05,3109
periodo naive, fill random,3233,0.0069442,3233
periodo smart, fill random,3233,2.835e-05,3233
periodo naive, fill with period,14,4.80333e-05,3233
periodo smart, fill with period,14,2.5725e-05,3233
periodo naive, fill random,3362,0.00646805,3362
periodo smart, fill random,3362,3.425e-05,3362
periodo naive, fill with period,2,2.248e-05,3362
periodo smart, fill with period,2,2.9925e-05,3362
periodo naive, fill random,3496,0.00669805,3496
periodo smart, fill random,3496,4.56333e-05,3496
periodo naive, fill with period,16,8.695e-05,3496
periodo smart, fill with period,16,3.46e-05,3496
periodo naive, fill random,3636,0.0181512,3636
periodo smart, fill random,3636,3.63333e-05,3636
periodo naive, fill with period,18,8.485e-05,3636
periodo smart, fill with period,18,3.36333e-05,3636
periodo naive, fill random,3781,0.0150691,3781
periodo smart, fill random,3781,4.35667e-05,3781
periodo naive, fill with period,11,5.855e-05,3781
periodo smart, fill with period,11,4.01667e-05,3781
periodo naive, fill random,3932,0.0153732,3932
periodo smart, fill random,3932,5.0675e-05,3932
periodo naive, fill with period,4,3.75667e-05,3932
periodo smart, fill with period,4,3.2125e-05,3932
periodo naive, fill random,4089,0.0156896,4089
periodo smart, fill random,4089,3.335e-05,4089
periodo naive, fill with period,2,2.775e-05,4089
periodo smart, fill with period,2,3.1525e-05,4089
periodo naive, fill random,4252,0.0159778,4252
periodo smart, fill random,4252,3.425e-05,4252
periodo naive, fill with period,8,5.68333e-05,4252
periodo smart, fill with period,8,3.21e-05,4252
periodo naive, fill random,4421,0.016113,4421
periodo smart, fill random,4421,3.4775e-05,4421
