label,string,result,time,size
periodo naive, fill random,1000,0.000314792,1000
periodo smart, fill random,1000,0.000128208,1000
periodo naive, fill with period,678,0.000237375,1000
periodo smart, fill with period,678,9.7083e-05,1000
periodo naive, fill worst case,1000,0.0167819,1000
periodo smart, fill worst case,1000,8.5917e-05,1000
periodo naive, fill random,1064,0.00015775,1064
periodo smart, fill random,1064,8.0458e-05,1064
periodo naive, fill with period,1022,0.000156541,1064
periodo smart, fill with period,1022,8.0584e-05,1064
periodo naive, fill worst case,1064,0.0142144,1064
periodo smart, fill worst case,1064,7.25e-05,1064
periodo naive, fill random,1132,0.000134666,1133
periodo smart, fill random,1132,7.0709e-05,1133
periodo naive, fill with period,579,8.19585e-05,1133
periodo smart, fill with period,579,5.9917e-05,1133
periodo naive, fill worst case,1133,0.0135153,1133
periodo smart, fill worst case,1133,6.3625e-05,1133
periodo naive, fill random,1204,0.00011725,1207
periodo smart, fill random,1204,5.8875e-05,1207
periodo naive, fill with period,70,2.8396e-05,1207
periodo smart, fill with period,70,4.6292e-05,1207
periodo naive, fill worst case,1207,0.0135302,1207
periodo smart, fill worst case,1207,6.25e-05,1207
periodo naive, fill random,1284,0.000118292,1285
periodo smart, fill random,1284,6.0875e-05,1285
periodo naive, fill with period,346,4.8916e-05,1285
periodo smart, fill with period,346,4.8958e-05,1285
periodo naive, fill worst case,1285,0.0140379,1285
periodo smart, fill worst case,1285,6.3625e-05,1285
periodo naive, fill random,1368,0.000121292,1368
periodo smart, fill random,1368,6.15e-05,1368
periodo naive, fill with period,1198,0.000109375,1368
periodo smart, fill with period,1198,6.0916e-05,1368
periodo naive, fill worst case,1368,0.0148343,1368
periodo smart, fill worst case,1368,6.3709e-05,1368
periodo naive, fill random,1454,0.000124666,1457
periodo smart, fill random,1454,6.2625e-05,1457
periodo naive, fill with period,463,5.5416e-05,1457
periodo smart, fill with period,463,5.1e-05,1457
periodo naive, fill worst case,1457,0.0165644,1457
periodo smart, fill worst case,1457,6.7834e-05,1457
periodo naive, fill random,1550,0.000132417,1551
periodo smart, fill random,1550,6.4625e-05,1551
periodo naive, fill with period,57,2.79795e-05,1551
periodo smart, fill with period,57,5.1542e-05,1551
periodo naive, fill worst case,1551,0.0188478,1551
periodo smart, fill worst case,1551,7.2208e-05,1551
periodo naive, fill random,1652,0.000143,1652
periodo smart, fill random,1652,6.7625e-05,1652
periodo naive, fill with period,1644,0.000142667,1652
periodo smart, fill with period,1644,6.75e-05,1652
periodo naive, fill worst case,1652,0.0212857,1652
periodo smart, fill worst case,1652,7.6875e-05,1652
periodo naive, fill random,1758,0.000155083,1759
periodo smart, fill random,1758,7.5208e-05,1759
periodo naive, fill with period,1529,0.000138958,1759
periodo smart, fill with period,1529,7.0166e-05,1759
periodo naive, fill worst case,1759,0.0241425,1759
periodo smart, fill worst case,1759,8.1917e-05,1759
periodo naive, fill random,1873,0.000166667,1873
periodo smart, fill random,1873,7.9e-05,1873
periodo naive, fill with period,1494,0.0001395,1873
periodo smart, fill with period,1494,7.8208e-05,1873
periodo naive, fill worst case,1873,0.0273722,1873
periodo smart, fill worst case,1873,8.7167e-05,1873
periodo naive, fill random,1994,0.000181125,1994
periodo smart, fill random,1994,8.2083e-05,1994
periodo naive, fill with period,414,6.1208e-05,1994
periodo smart, fill with period,414,6.6e-05,1994
periodo naive, fill worst case,1994,0.0309821,1994
periodo smart, fill worst case,1994,9.275e-05,1994
periodo naive, fill random,2122,0.000195209,2123
periodo smart, fill random,2122,9.0792e-05,2123
periodo naive, fill with period,1330,0.000135041,2123
periodo smart, fill with period,1330,8.1791e-05,2123
periodo naive, fill worst case,2123,0.035134,2123
periodo smart, fill worst case,2123,9.8791e-05,2123
periodo naive, fill random,2261,0.000226292,2261
periodo smart, fill random,2261,9.6375e-05,2261
periodo naive, fill with period,928,0.000108125,2261
periodo smart, fill with period,928,8.175e-05,2261
periodo naive, fill worst case,2261,0.0398235,2261
periodo smart, fill worst case,2261,0.00010525,2261
periodo naive, fill random,2407,0.00022675,2408
periodo smart, fill random,2407,9.8458e-05,2408
periodo naive, fill with period,2285,0.000219292,2408
periodo smart, fill with period,2285,9.675e-05,2408
periodo naive, fill worst case,2408,0.0451937,2408
periodo smart, fill worst case,2408,0.000112333,2408
periodo naive, fill random,2561,0.000247625,2564
periodo smart, fill random,2561,0.000106,2564
periodo naive, fill with period,2003,0.000201583,2564
periodo smart, fill with period,2003,0.000103667,2564
periodo naive, fill worst case,2564,0.0512483,2564
periodo smart, fill worst case,2564,0.000122209,2564
periodo naive, fill random,2730,0.000269292,2730
periodo smart, fill random,2730,0.000118417,2730
periodo naive, fill with period,2419,0.000244708,2730
periodo smart, fill with period,2419,0.0001135,2730
periodo naive, fill worst case,2730,0.0581217,2730
periodo smart, fill worst case,2730,0.00012725,2730
periodo naive, fill random,2906,0.000290083,2907
periodo smart, fill random,2906,0.000122042,2907
periodo naive, fill with period,2897,0.000289208,2907
periodo smart, fill with period,2897,0.000124167,2907
periodo naive, fill worst case,2907,0.0662221,2907
periodo smart, fill worst case,2907,0.000135291,2907
periodo naive, fill random,3095,0.000317875,3095
periodo smart, fill random,3095,0.000134334,3095
periodo naive, fill with period,3010,0.000309625,3095
periodo smart, fill with period,3010,0.000130125,3095
periodo naive, fill worst case,3095,0.0759554,3095
periodo smart, fill worst case,3095,0.000148292,3095
periodo naive, fill random,3294,0.000370542,3295
periodo smart, fill random,3294,0.000146209,3295
periodo naive, fill with period,1171,0.000154291,3295
periodo smart, fill with period,1171,0.000117333,3295
periodo naive, fill worst case,3295,0.0862682,3295
periodo smart, fill worst case,3295,0.000158416,3295
periodo naive, fill random,3509,0.000393167,3509
periodo smart, fill random,3509,0.000150625,3509
periodo naive, fill with period,109,6.575e-05,3509
periodo smart, fill with period,109,0.000110375,3509
periodo naive, fill worst case,3509,0.0967621,3509
periodo smart, fill worst case,3509,0.000172583,3509
periodo naive, fill random,3735,0.0004325,3736
periodo smart, fill random,3735,0.000163083,3736
periodo naive, fill with period,282,8.6542e-05,3736
periodo smart, fill with period,282,0.000119583,3736
periodo naive, fill worst case,3736,0.111273,3736
periodo smart, fill worst case,3736,0.000175542,3736
periodo naive, fill random,3978,0.000474708,3978
periodo smart, fill random,3978,0.000195375,3978
periodo naive, fill with period,557,0.0001355,3978
periodo smart, fill with period,557,0.0001385,3978
periodo naive, fill worst case,3978,0.124914,3978
periodo smart, fill worst case,3978,0.000185167,3978
periodo naive, fill random,4235,0.000521666,4236
periodo smart, fill random,4235,0.0001875,4236
periodo naive, fill with period,3440,0.000436667,4236
periodo smart, fill with period,3440,0.000170167,4236
periodo naive, fill worst case,4236,0.139909,4236
periodo smart, fill worst case,4236,0.000197083,4236
periodo naive, fill random,4510,0.000568333,4511
periodo smart, fill random,4510,0.000190417,4511
periodo naive, fill with period,3786,0.000487041,4511
periodo smart, fill with period,3786,0.000184875,4511
periodo naive, fill worst case,4511,0.158684,4511
periodo smart, fill worst case,4511,0.000210125,4511
periodo naive, fill random,4801,0.00061675,4803
periodo smart, fill random,4801,0.000205292,4803
periodo naive, fill with period,390,0.000118833,4803
periodo smart, fill with period,390,0.000153708,4803
periodo naive, fill worst case,4803,0.180097,4803
periodo smart, fill worst case,4803,0.000226833,4803
periodo naive, fill random,5114,0.000710833,5114
periodo smart, fill random,5114,0.000216083,5114
periodo naive, fill with period,2423,0.000377375,5114
periodo smart, fill with period,2423,0.000183,5114
periodo naive, fill worst case,5114,0.206186,5114
periodo smart, fill worst case,5114,0.000238333,5114
periodo naive, fill random,5446,0.000754083,5446
periodo smart, fill random,5446,0.000244167,5446
periodo naive, fill with period,4395,0.000636,5446
periodo smart, fill with period,4395,0.000219291,5446
periodo naive, fill worst case,5446,0.233418,5446
periodo smart, fill worst case,5446,0.000253583,5446
periodo naive, fill random,5798,0.000816167,5798
